market,latitude,longitude,commodity,unit,price,year,month
Arusha (urban),-3.366667,36.683333,Maize,100 KG,38464.29,2006,1
Arusha (urban),-3.366667,36.683333,Rice,100 KG,63227.27,2006,1
Arusha (urban),-3.366667,36.683333,Beans,100 KG,80714.29,2006,1
Arusha (urban),-3.366667,36.683333,Maize,100 KG,34833.33,2006,2
Arusha (urban),-3.366667,36.683333,Rice,100 KG,72727.27,2006,2
Arusha (urban),-3.366667,36.683333,Beans,100 KG,65083.33,2006,2
Arusha (urban),-3.366667,36.683333,Maize,100 KG,31000.0,2006,3
Arusha (urban),-3.366667,36.683333,Rice,100 KG,81961.54,2006,3
Arusha (urban),-3.366667,36.683333,Beans,100 KG,46875.0,2006,3
Arusha (urban),-3.366667,36.683333,Maize,100 KG,20545.45,2006,4
Arusha (urban),-3.366667,36.683333,Rice,100 KG,73785.71,2006,4
Arusha (urban),-3.366667,36.683333,Beans,100 KG,49136.36,2006,4
Arusha (urban),-3.366667,36.683333,Maize,100 KG,18461.54,2006,5
Arusha (urban),-3.366667,36.683333,Rice,100 KG,106375.0,2006,5
Arusha (urban),-3.366667,36.683333,Beans,100 KG,52346.15,2006,5
Arusha (urban),-3.366667,36.683333,Maize,100 KG,18166.67,2006,6
Arusha (urban),-3.366667,36.683333,Rice,100 KG,77791.67,2006,6
Arusha (urban),-3.366667,36.683333,Beans,100 KG,56375.0,2006,6
Arusha (urban),-3.366667,36.683333,Maize,100 KG,18333.33,2006,7
Arusha (urban),-3.366667,36.683333,Rice,100 KG,72318.18,2006,7
Arusha (urban),-3.366667,36.683333,Beans,100 KG,57000.0,2006,7
Arusha (urban),-3.366667,36.683333,Maize,100 KG,17000.0,2006,8
Arusha (urban),-3.366667,36.683333,Rice,100 KG,74423.08,2006,8
Arusha (urban),-3.366667,36.683333,Beans,100 KG,52000.0,2006,8
Arusha (urban),-3.366667,36.683333,Maize,100 KG,15000.0,2006,9
Arusha (urban),-3.366667,36.683333,Rice,100 KG,71916.67,2006,9
Arusha (urban),-3.366667,36.683333,Beans,100 KG,49187.5,2006,9
Arusha (urban),-3.366667,36.683333,Maize,100 KG,15700.0,2006,10
Arusha (urban),-3.366667,36.683333,Rice,100 KG,79562.5,2006,10
Arusha (urban),-3.366667,36.683333,Beans,100 KG,51010.0,2006,10
Arusha (urban),-3.366667,36.683333,Maize,100 KG,16200.0,2006,11
Arusha (urban),-3.366667,36.683333,Rice,100 KG,74450.0,2006,11
Arusha (urban),-3.366667,36.683333,Beans,100 KG,50890.0,2006,11
Arusha (urban),-3.366667,36.683333,Maize,100 KG,17580.0,2006,12
Arusha (urban),-3.366667,36.683333,Rice,100 KG,68687.5,2006,12
Arusha (urban),-3.366667,36.683333,Beans,100 KG,50150.0,2006,12
Arusha (urban),-3.366667,36.683333,Maize,100 KG,20100.0,2007,1
Arusha (urban),-3.366667,36.683333,Rice,100 KG,73000.0,2007,1
Arusha (urban),-3.366667,36.683333,Beans,100 KG,55200.0,2007,1
Arusha (urban),-3.366667,36.683333,Maize,100 KG,21400.0,2007,2
Arusha (urban),-3.366667,36.683333,Rice,100 KG,65500.0,2007,2
Arusha (urban),-3.366667,36.683333,Beans,100 KG,55300.0,2007,2
Arusha (urban),-3.366667,36.683333,Maize,100 KG,19600.0,2007,3
Arusha (urban),-3.366667,36.683333,Rice,100 KG,64600.0,2007,3
Arusha (urban),-3.366667,36.683333,Beans,100 KG,51400.0,2007,3
Arusha (urban),-3.366667,36.683333,Maize,100 KG,17500.0,2007,4
Arusha (urban),-3.366667,36.683333,Rice,100 KG,64000.0,2007,4
Arusha (urban),-3.366667,36.683333,Beans,100 KG,55600.0,2007,4
Arusha (urban),-3.366667,36.683333,Maize,100 KG,17100.0,2007,5
Arusha (urban),-3.366667,36.683333,Rice,100 KG,57500.0,2007,5
Arusha (urban),-3.366667,36.683333,Beans,100 KG,52000.0,2007,5
Arusha (urban),-3.366667,36.683333,Maize,100 KG,27978.0,2007,6
Arusha (urban),-3.366667,36.683333,Rice,100 KG,55600.0,2007,6
Arusha (urban),-3.366667,36.683333,Beans,100 KG,52400.0,2007,6
Arusha (urban),-3.366667,36.683333,Maize,100 KG,13800.0,2007,7
Arusha (urban),-3.366667,36.683333,Rice,100 KG,57700.0,2007,7
Arusha (urban),-3.366667,36.683333,Beans,100 KG,51900.0,2007,7
Arusha (urban),-3.366667,36.683333,Maize,100 KG,15300.0,2007,8
Arusha (urban),-3.366667,36.683333,Rice,100 KG,58600.0,2007,8
Arusha (urban),-3.366667,36.683333,Beans,100 KG,55900.0,2007,8
Arusha (urban),-3.366667,36.683333,Maize,100 KG,17300.0,2007,9
Arusha (urban),-3.366667,36.683333,Rice,100 KG,53300.0,2007,9
Arusha (urban),-3.366667,36.683333,Beans,100 KG,53300.0,2007,9
Arusha (urban),-3.366667,36.683333,Maize,100 KG,17800.0,2007,10
Arusha (urban),-3.366667,36.683333,Rice,100 KG,58900.0,2007,10
Arusha (urban),-3.366667,36.683333,Beans,100 KG,55800.0,2007,10
Arusha (urban),-3.366667,36.683333,Maize,100 KG,20400.0,2007,11
Arusha (urban),-3.366667,36.683333,Rice,100 KG,62500.0,2007,11
Arusha (urban),-3.366667,36.683333,Beans,100 KG,57700.0,2007,11
Arusha (urban),-3.366667,36.683333,Maize,100 KG,24500.0,2007,12
Arusha (urban),-3.366667,36.683333,Rice,100 KG,63400.0,2007,12
Arusha (urban),-3.366667,36.683333,Beans,100 KG,67700.0,2007,12
Arusha (urban),-3.366667,36.683333,Maize,100 KG,32400.0,2008,1
Arusha (urban),-3.366667,36.683333,Rice,100 KG,75300.0,2008,1
Arusha (urban),-3.366667,36.683333,Beans,100 KG,99200.0,2008,1
Arusha (urban),-3.366667,36.683333,Maize,100 KG,35600.0,2008,2
Arusha (urban),-3.366667,36.683333,Rice,100 KG,70300.0,2008,2
Arusha (urban),-3.366667,36.683333,Beans,100 KG,87100.0,2008,2
Arusha (urban),-3.366667,36.683333,Maize,100 KG,29600.0,2008,3
Arusha (urban),-3.366667,36.683333,Rice,100 KG,84000.0,2008,3
Arusha (urban),-3.366667,36.683333,Beans,100 KG,98900.0,2008,3
Arusha (urban),-3.366667,36.683333,Maize,100 KG,31400.0,2008,4
Arusha (urban),-3.366667,36.683333,Rice,100 KG,82500.0,2008,4
Arusha (urban),-3.366667,36.683333,Beans,100 KG,86700.0,2008,4
Arusha (urban),-3.366667,36.683333,Maize,100 KG,29500.0,2008,5
Arusha (urban),-3.366667,36.683333,Rice,100 KG,82700.0,2008,5
Arusha (urban),-3.366667,36.683333,Beans,100 KG,76700.0,2008,5
Arusha (urban),-3.366667,36.683333,Maize,100 KG,33500.0,2008,6
Arusha (urban),-3.366667,36.683333,Rice,100 KG,86577.0,2008,6
Arusha (urban),-3.366667,36.683333,Beans,100 KG,84800.0,2008,6
Arusha (urban),-3.366667,36.683333,Maize,100 KG,30545.45,2008,7
Arusha (urban),-3.366667,36.683333,Rice,100 KG,92863.64,2008,7
Arusha (urban),-3.366667,36.683333,Beans,100 KG,86818.18,2008,7
Arusha (urban),-3.366667,36.683333,Maize,100 KG,30000.0,2008,8
Arusha (urban),-3.366667,36.683333,Rice,100 KG,105000.0,2008,8
Arusha (urban),-3.366667,36.683333,Beans,100 KG,87500.0,2008,8
Arusha (urban),-3.366667,36.683333,Maize,100 KG,30000.0,2008,9
Arusha (urban),-3.366667,36.683333,Rice,100 KG,97500.0,2008,9
Arusha (urban),-3.366667,36.683333,Beans,100 KG,87500.0,2008,9
Arusha (urban),-3.366667,36.683333,Maize,100 KG,25000.0,2008,10
Arusha (urban),-3.366667,36.683333,Rice,100 KG,99000.0,2008,10
Arusha (urban),-3.366667,36.683333,Beans,100 KG,89000.0,2008,10
Arusha (urban),-3.366667,36.683333,Maize,100 KG,34091.0,2008,11
Arusha (urban),-3.366667,36.683333,Rice,100 KG,110455.0,2008,11
Arusha (urban),-3.366667,36.683333,Beans,100 KG,93864.0,2008,11
Arusha (urban),-3.366667,36.683333,Maize,100 KG,39000.0,2008,12
Arusha (urban),-3.366667,36.683333,Rice,100 KG,110000.0,2008,12
Arusha (urban),-3.366667,36.683333,Beans,100 KG,100000.0,2008,12
Arusha (urban),-3.366667,36.683333,Maize,100 KG,39000.0,2009,1
Arusha (urban),-3.366667,36.683333,Rice,100 KG,120000.0,2009,1
Arusha (urban),-3.366667,36.683333,Beans,100 KG,120000.0,2009,1
Arusha (urban),-3.366667,36.683333,Maize,100 KG,45000.0,2009,2
Arusha (urban),-3.366667,36.683333,Rice,100 KG,130000.0,2009,2
Arusha (urban),-3.366667,36.683333,Beans,100 KG,102000.0,2009,2
Arusha (urban),-3.366667,36.683333,Maize,100 KG,45000.0,2009,3
Arusha (urban),-3.366667,36.683333,Rice,100 KG,130000.0,2009,3
Arusha (urban),-3.366667,36.683333,Beans,100 KG,130000.0,2009,3
Arusha (urban),-3.366667,36.683333,Maize,100 KG,41000.0,2009,4
Arusha (urban),-3.366667,36.683333,Rice,100 KG,115500.0,2009,4
Arusha (urban),-3.366667,36.683333,Beans,100 KG,103200.0,2009,4
Arusha (urban),-3.366667,36.683333,Maize,100 KG,42357.14,2009,5
Arusha (urban),-3.366667,36.683333,Rice,100 KG,108357.14,2009,5
Arusha (urban),-3.366667,36.683333,Beans,100 KG,99071.43,2009,5
Arusha (urban),-3.366667,36.683333,Maize,100 KG,39000.0,2009,6
Arusha (urban),-3.366667,36.683333,Rice,100 KG,113750.0,2009,6
Arusha (urban),-3.366667,36.683333,Beans,100 KG,106666.67,2009,6
Arusha (urban),-3.366667,36.683333,Maize,100 KG,39000.0,2009,7
Arusha (urban),-3.366667,36.683333,Beans,100 KG,105000.0,2009,7
Arusha (urban),-3.366667,36.683333,Maize,100 KG,38000.0,2009,8
Arusha (urban),-3.366667,36.683333,Rice,100 KG,110000.0,2009,8
Arusha (urban),-3.366667,36.683333,Beans,100 KG,100000.0,2009,8
Arusha (urban),-3.366667,36.683333,Maize,100 KG,38000.0,2009,9
Arusha (urban),-3.366667,36.683333,Rice,100 KG,110000.0,2009,9
Arusha (urban),-3.366667,36.683333,Maize,100 KG,40000.0,2009,10
Arusha (urban),-3.366667,36.683333,Rice,100 KG,107000.0,2009,10
Arusha (urban),-3.366667,36.683333,Maize,100 KG,42000.0,2009,11
Arusha (urban),-3.366667,36.683333,Rice,100 KG,113000.0,2009,11
Arusha (urban),-3.366667,36.683333,Maize,100 KG,44000.0,2009,12
Arusha (urban),-3.366667,36.683333,Rice,100 KG,110000.0,2009,12
Arusha (urban),-3.366667,36.683333,Maize,100 KG,43000.0,2010,1
Arusha (urban),-3.366667,36.683333,Rice,100 KG,130000.0,2010,1
Arusha (urban),-3.366667,36.683333,Maize,100 KG,45000.0,2010,2
Arusha (urban),-3.366667,36.683333,Rice,100 KG,130000.0,2010,2
Arusha (urban),-3.366667,36.683333,Maize,100 KG,38000.0,2010,3
Arusha (urban),-3.366667,36.683333,Rice,100 KG,125000.0,2010,3
Arusha (urban),-3.366667,36.683333,Maize,100 KG,33000.0,2010,4
Arusha (urban),-3.366667,36.683333,Rice,100 KG,108000.0,2010,4
Arusha (urban),-3.366667,36.683333,Maize,100 KG,34000.0,2010,5
Arusha (urban),-3.366667,36.683333,Rice,100 KG,105000.0,2010,5
Arusha (urban),-3.366667,36.683333,Maize,100 KG,25000.0,2010,6
Arusha (urban),-3.366667,36.683333,Rice,100 KG,95000.0,2010,6
Arusha (urban),-3.366667,36.683333,Maize,100 KG,26000.0,2010,7
Arusha (urban),-3.366667,36.683333,Rice,100 KG,95000.0,2010,7
Arusha (urban),-3.366667,36.683333,Maize,100 KG,25000.0,2010,8
Arusha (urban),-3.366667,36.683333,Rice,100 KG,95000.0,2010,8
Arusha (urban),-3.366667,36.683333,Maize,100 KG,26625.0,2010,9
Arusha (urban),-3.366667,36.683333,Rice,100 KG,95000.0,2010,9
Arusha (urban),-3.366667,36.683333,Maize,100 KG,26769.0,2010,10
Arusha (urban),-3.366667,36.683333,Rice,100 KG,100000.0,2010,10
Arusha (urban),-3.366667,36.683333,Maize,100 KG,29200.0,2010,11
Arusha (urban),-3.366667,36.683333,Rice,100 KG,103000.0,2010,11
Arusha (urban),-3.366667,36.683333,Maize,100 KG,30857.0,2010,12
Arusha (urban),-3.366667,36.683333,Rice,100 KG,93643.0,2010,12
Arusha (urban),-3.366667,36.683333,Maize,100 KG,31083.0,2011,1
Arusha (urban),-3.366667,36.683333,Rice,100 KG,117917.0,2011,1
Arusha (urban),-3.366667,36.683333,Beans,100 KG,96875.0,2011,1
Arusha (urban),-3.366667,36.683333,Maize,100 KG,29178.0,2011,2
Arusha (urban),-3.366667,36.683333,Rice,100 KG,109450.0,2011,2
Arusha (urban),-3.366667,36.683333,Beans,100 KG,100755.0,2011,2
Arusha (urban),-3.366667,36.683333,Maize,100 KG,36566.6,2011,3
Arusha (urban),-3.366667,36.683333,Rice,100 KG,112666.6,2011,3
Arusha (urban),-3.366667,36.683333,Beans,100 KG,106750.0,2011,3
Arusha (urban),-3.366667,36.683333,Maize,100 KG,40000.0,2011,4
Arusha (urban),-3.366667,36.683333,Rice,100 KG,125000.0,2011,4
Arusha (urban),-3.366667,36.683333,Beans,100 KG,121250.0,2011,4
Arusha (urban),-3.366667,36.683333,Maize,100 KG,43000.0,2011,5
Arusha (urban),-3.366667,36.683333,Rice,100 KG,135000.0,2011,5
Arusha (urban),-3.366667,36.683333,Beans,100 KG,122500.0,2011,5
Arusha (urban),-3.366667,36.683333,Maize,100 KG,50500.0,2011,6
Arusha (urban),-3.366667,36.683333,Rice,100 KG,130000.0,2011,6
Arusha (urban),-3.366667,36.683333,Beans,100 KG,120000.0,2011,6
