iter	Passed	Remaining
0	4688	4683774
1	8969	4475804
2	13848	4602361
3	18632	4639443
4	23356	4647937
5	27769	4600451
6	32157	4561721
7	33209	4117932
8	37415	4119815
9	41724	4130730
10	46100	4144870
11	50521	4159604
12	52873	4014308
13	57730	4065898
14	62728	4119142
15	67271	4137187
16	71796	4151511
17	76443	4170407
18	81412	4203477
19	86031	4215542
20	90646	4225845
21	95289	4236043
22	99694	4234839
23	103966	4227986
24	108091	4215576
25	112270	4205843
26	116469	4197202
27	120711	4190423
28	124723	4176083
29	129064	4173099
30	133336	4167839
31	137716	4165929
32	142169	4165998
33	149776	4255418
34	158539	4371160
35	167398	4482552
36	176286	4588205
37	184692	4675632
38	193429	4766292
39	201666	4839991
40	209971	4911288
41	218576	4985617
42	226709	5045602
43	234718	5099802
44	243027	5157587
45	251428	5214406
46	259383	5259407
47	267670	5308796
48	275959	5355865
49	284216	5400111
50	292075	5434896
51	300650	5481086
52	308597	5514003
53	317023	5553782
54	325354	5590185
55	334051	5631148
56	342455	5665541
57	350823	5697851
58	359056	5726645
59	367405	5756026
60	375550	5781015
61	383764	5805986
62	392044	5830888
63	400135	5851981
64	408435	5875189
65	416768	5897905
66	425005	5918364
67	433045	5935274
68	441601	5958424
69	449644	5973854
70	457971	5992326
71	466390	6011258
72	474857	6030039
73	483526	6050613
74	491909	6066885
75	500555	6085701
76	509127	6102919
77	517523	6117393
78	525608	6127658
79	533760	6138244
80	542029	6149688
81	550527	6163225
82	558905	6174892
83	567044	6183486
84	574766	6187197
85	583224	6198453
86	591389	6206195
87	599570	6213730
88	607687	6220258
89	616017	6228625
90	624843	6241565
91	632978	6247223
92	640980	6251278
93	649582	6260868
94	657942	6267769
95	666141	6272830
96	674457	6278716
97	682623	6282924
98	690444	6283745
99	698577	6287193
100	706744	6290725
101	714998	6294787
102	723288	6298929
103	731608	6303089
104	739791	6305845
105	748403	6312010
106	756530	6313847
107	764936	6317810
108	773040	6319077
109	781263	6321135
110	788976	6318917
111	797473	6322823
112	805806	6325225
113	814018	6326495
114	822351	6328532
115	830497	6328964
116	838322	6326829
117	846612	6328066
118	854721	6327809
119	863185	6330028
120	870962	6327076
121	879069	6326419
122	887163	6325545
123	895049	6323092
124	903262	6322837
125	911478	6322479
126	919633	6321574
127	928464	6325162
128	936972	6326380
129	945088	6324821
130	953243	6323423
131	962035	6326113
132	969582	6320513
133	977747	6318876
134	985885	6316968
135	993661	6312669
136	1001965	6311648
137	1010101	6309474
138	1018099	6306356
139	1026688	6306800
140	1034935	6305031
141	1043202	6303295
142	1051119	6299367
143	1059762	6299698
144	1067617	6295263
145	1076164	6294827
146	1084600	6293633
147	1092303	6288124
148	1100411	6284898
149	1108869	6283592
150	1117149	6281191
151	1125660	6280001
152	1125692	6231773
153	1134067	6230009
154	1142181	6226728
155	1150751	6225858
156	1159427	6225461
157	1167275	6220542
158	1175743	6218872
159	1184209	6217100
160	1192649	6215111
161	1200918	6212160
162	1200966	6166923
163	1209194	6163944
164	1217581	6161702
165	1225504	6157054
166	1234017	6155306
167	1241738	6149561
168	1250056	6146729
169	1258310	6143516
170	1265972	6137374
171	1274189	6133890
172	1281955	6128193
173	1290040	6123986
174	1298296	6120542
175	1306598	6117257
176	1306660	6075600
177	1311215	6055164
178	1319701	6052932
179	1328322	6051246
180	1336299	6046568
181	1344713	6043824
182	1353067	6040742
183	1361187	6036569
184	1369160	6031706
185	1377754	6029527
186	1385891	6025292
187	1394879	6024690
188	1402904	6019870
189	1411410	6017066
190	1419657	6013106
191	1427647	6008016
192	1435991	6004379
193	1443885	5998822
194	1452321	5995479
195	1460339	5990371
196	1469060	5988101
197	1476938	5982345
198	1484795	5976488
199	1492867	5971470
200	1501149	5967256
201	1509656	5963890
202	1517422	5957564
203	1525739	5953375
204	1534347	5950276
205	1542536	5945505
206	1550750	5940798
207	1558989	5936152
208	1567494	5932477
209	1575532	5927002
210	1584025	5923204
211	1592325	5918645
212	1600478	5913504
213	1608676	5908503
214	1616471	5901999
215	1624851	5897610
216	1633165	5892942
217	1635783	5867810
218	1644049	5863025
219	1652280	5858085
220	1660433	5852841
221	1668757	5848167
222	1676619	5841855
223	1684972	5837225
224	1692981	5831382
225	1701698	5827940
226	1709781	5822294
227	1717895	5816734
228	1726137	5811581
229	1734110	5805498
230	1742727	5801547
231	1750784	5795699
232	1759269	5791244
233	1766650	5783138
234	1774961	5778065
235	1782946	5771912
236	1791269	5766830
237	1799669	5761966
238	1807758	5756085
239	1815737	5749835
240	1824492	5746014
241	1832512	5739854
242	1840860	5734695
243	1849125	5729257
244	1857567	5724340
245	1865858	5718930
246	1873962	5712928
247	1882128	5707099
248	1890649	5702319
249	1898982	5696946
250	1906975	5690535
251	1915297	5685089
252	1923645	5679696
253	1924799	5653150
254	1932959	5647272
255	1940962	5640921
256	1949404	5635827
257	1957599	5629995
258	1966021	5624794
259	1973991	5618283
260	1982191	5612412
261	1990526	5606903
262	1998948	5601615
263	2007467	5596575
264	2015388	5589852
265	2023590	5583893
266	2031726	5577735
267	2040107	5572233
268	2048132	5565743
269	2056479	5560110
270	2064406	5553328
271	2072875	5547990
272	2081077	5541917
273	2088852	5534696
274	2097043	5528570
275	2105282	5522553
276	2113731	5517067
277	2122088	5511322
278	2130041	5504515
279	2138137	5498068
280	2146386	5491998
281	2154613	5485860
282	2163098	5480358
283	2171101	5473620
284	2179337	5467460
285	2187281	5460556
286	2195737	5454915
287	2204068	5448946
288	2212167	5442390
289	2220534	5436480
290	2228783	5430265
291	2237227	5424509
292	2245259	5417741
293	2253496	5411458
294	2261664	5404995
295	2269842	5398543
296	2278532	5393294
297	2286923	5387315
298	2295490	5381735
299	2303539	5374925
300	2311817	5368640
301	2320518	5363318
302	2328960	5357377
303	2328981	5332142
304	2336720	5324657
305	2344881	5318129
306	2353318	5312214
307	2365608	5314939
308	2376782	5315071
309	2389155	5317798
310	2401530	5320431
311	2413353	5321753
312	2425361	5323396
313	2436961	5324061
314	2449158	5325948
315	2461077	5327141
316	2473946	5330301
317	2486709	5333132
318	2498792	5334413
319	2511248	5336402
320	2524063	5339063
321	2536312	5340433
322	2548378	5341338
323	2560762	5342825
324	2573702	5345382
325	2585279	5345024
326	2597901	5346750
327	2610314	5347961
328	2622380	5348380
329	2634988	5349825
330	2647229	5350442
331	2659241	5350522
332	2671988	5352000
333	2684078	5352085
334	2696311	5352379
335	2708808	5353121
336	2721100	5353382
337	2733165	5353123
338	2745692	5353696
339	2758176	5354106
340	2769874	5352924
341	2782920	5354273
342	2795362	5354382
343	2807104	5353083
344	2819320	5352623
345	2831797	5352588
346	2844026	5352015
347	2855457	5349880
348	2867608	5349034
349	2879837	5348268
350	2892346	5347956
351	2904864	5347590
352	2917856	5348026
353	2930143	5347097
354	2942922	5347000
355	2955460	5346395
356	2967720	5345221
357	2980031	5344078
358	2992029	5342315
359	3004522	5341372
360	3016510	5339474
361	3029052	5338496
362	3031196	5319206
363	3043740	5318183
364	3055240	5315281
365	3067030	5312834
366	3079578	5311644
367	3091625	5309530
368	3102936	5306105
369	3115300	5304430
370	3128196	5303600
371	3140131	5301081
372	3152775	5299706
373	3164901	5297402
374	3177155	5295259
375	3189853	5293799
376	3202140	5291600
377	3214487	5289447
378	3226850	5287267
379	3238641	5284099
380	3250889	5281628
381	3263250	5279289
382	3275619	5276911
383	3287791	5274164
384	3299623	5270826
385	3311579	5267642
386	3323675	5264633
387	3336158	5262188
388	3347768	5258319
389	3360056	5255472
390	3372389	5252648
391	3384861	5249989
392	3397329	5247274
393	3409406	5243909
394	3421719	5240861
395	3433845	5237481
396	3445096	5232727
397	3446183	5212569
398	3458862	5209965
399	3470550	5205825
400	3482970	5202741
401	3495052	5199107
402	3507011	5195250
403	3518892	5191238
404	3531944	5188906
405	3534921	5171781
406	3547186	5168258
407	3559850	5165273
408	3572695	5162501
409	3585089	5159031
410	3597376	5155364
411	3610311	5152580
412	3622459	5148628
413	3634343	5144263
414	3646853	5140745
415	3660184	5138335
416	3672441	5134372
417	3684626	5130269
418	3697045	5126451
419	3709397	5122501
420	3721922	5118749
421	3733980	5114314
422	3745894	5109648
423	3758044	5105267
424	3770454	5101203
425	3782815	5097033
426	3795255	5092930
427	3801335	5080288
428	3813751	5076112
429	3826739	5072655
430	3838471	5067494
431	3850955	5063293
432	3863877	5059626
433	3875810	5054628
434	3888443	5050507
435	3900637	5045778
436	3913648	5042068
437	3926099	5037597
438	3938319	5032795
439	3950037	5027321
440	3961680	5021721
441	3974143	5017130
442	3975000	4997912
443	3987663	4993560
444	3999897	4988635
445	4012369	4983974
446	4024449	4978793
447	4037100	4974284
448	4049300	4969186
449	4061405	4963940
450	4073691	4958883
451	4087052	4955099
452	4098753	4949267
453	4110851	4943886
454	4123282	4938876
455	4135333	4933380
456	4147910	4928480
457	4159984	4922951
458	4172099	4917441
459	4184772	4912559
460	4197063	4907195
461	4209922	4902463
462	4222973	4897919
463	4235876	4893167
464	4248106	4887606
465	4260986	4882761
466	4273395	4877344
467	4285768	4871856
468	4297852	4866012
469	4309696	4859870
470	4321381	4853526
471	4332905	4846978
472	4345168	4841234
473	4357076	4835068
474	4369368	4829301
475	4382748	4824706
476	4395870	4819791
477	4407475	4813185
478	4419641	4807167
479	4432137	4801482
480	4445133	4796307
481	4457429	4790349
