iter	RMSE
0	18187.36562
1	15462.23553
2	13360.21762
3	11473.97345
4	9861.484977
5	8587.898078
6	7494.785283
7	6681.550499
8	6057.49379
9	5560.206111
10	5096.527246
11	4625.382763
12	4303.194628
13	4047.387324
14	3846.886455
15	3655.59887
16	3492.177557
17	3360.084374
18	3232.840886
19	3122.363197
20	3009.512259
21	2924.375194
22	2831.738251
23	2761.871142
24	2704.301229
25	2658.527877
26	2601.662528
27	2555.448543
28	2480.534547
29	2433.649467
30	2383.903848
31	2318.223572
32	2261.766333
33	2223.275169
34	2172.424843
35	2106.501248
36	2055.15148
37	2043.479041
38	1976.80772
39	1946.106489
40	1897.863166
41	1869.365601
42	1821.831249
43	1787.058843
44	1750.359784
45	1713.667973
46	1681.966242
47	1653.990556
48	1626.669039
49	1603.422863
50	1578.065067
51	1558.830653
52	1523.343304
53	1500.257357
54	1459.026822
55	1434.513854
56	1405.370041
57	1391.421662
58	1358.473015
59	1324.714309
60	1302.075394
61	1291.816257
62	1265.429838
63	1252.103522
64	1219.692345
65	1205.907916
66	1182.103599
67	1167.76318
68	1138.594462
69	1116.627246
70	1093.086028
71	1083.090665
72	1062.688147
73	1047.367384
74	1034.960702
75	1016.881366
76	1001.38317
77	992.8083572
78	972.2723325
79	951.6784549
80	938.1090737
81	919.1240272
82	898.0308319
83	881.9138433
84	866.9166048
85	859.1574522
86	848.1176595
87	836.5290504
88	825.18323
89	815.228571
90	807.7250292
91	802.1227329
92	789.5833345
93	783.5801489
94	776.8441327
95	771.00298
96	758.9645783
97	740.4004618
98	722.5480754
99	708.8370905
100	702.8409165
101	699.2169942
102	688.937804
103	671.1305038
104	666.7741007
105	660.0176799
106	657.8141989
107	643.6288962
108	639.1803993
109	633.964814
110	621.5452031
111	611.7180987
112	603.4009491
113	595.9841396
114	592.349098
115	588.0579785
116	576.3824257
117	572.1159665
118	567.6627896
119	557.456951
120	551.5224308
121	544.4562508
122	537.8083794
123	531.1841273
124	524.7532586
125	520.1681109
126	512.8439475
127	506.8437155
128	502.7658155
129	495.8304729
130	491.4119529
131	482.710421
132	479.6801353
133	473.2277284
134	467.183735
135	463.5153022
136	461.4805338
137	459.4011992
138	452.8536283
139	445.0474582
140	444.5189083
141	438.3792581
142	436.2013025
143	431.3859329
144	430.1861894
145	424.3106805
146	418.1387425
147	417.1690064
148	407.0554183
149	404.0576602
150	398.4136737
151	393.8937052
152	384.5870369
153	380.0807459
154	376.1691578
155	371.7831954
156	367.2248008
157	362.3966216
158	360.696273
159	355.8828873
160	352.0410017
161	346.0398545
162	344.1882548
163	341.0501356
164	337.726683
165	332.5575459
166	328.1633734
167	324.9844129
168	324.8216649
169	322.8101715
170	319.5226905
171	314.7586506
172	313.0027807
173	311.0163446
174	308.6068404
175	303.6167882
176	300.7606407
177	297.8164207
178	297.6073043
179	294.2615167
180	293.100783
181	289.2289021
182	287.4336272
183	285.1444013
184	279.6076509
185	277.0641488
186	275.1260317
187	275.0510153
188	273.7037941
189	267.7072148
190	262.9582506
191	261.2240777
192	256.6992401
193	255.8824461
194	252.5260126
195	250.6738462
196	247.5045014
197	245.0075005
198	243.3354679
199	239.8649843
200	236.2332898
201	235.3587638
202	232.8441917
203	228.5148158
204	225.8189918
205	224.4458122
206	222.3158075
207	220.752267
208	220.6803425
209	219.8152166
210	218.3093433
211	215.4586575
212	213.0977313
213	210.9999136
214	209.7322627
215	208.0105415
216	205.7062518
217	203.0982017
218	199.0315374
219	197.0658552
220	195.985702
221	192.6696536
222	188.7699018
223	185.6639267
224	184.7123481
225	182.8504172
226	180.2819097
227	176.0062108
228	175.9556311
229	175.9118146
230	174.7023801
231	172.0994019
232	171.1039713
233	170.3666421
234	169.8732269
235	168.630444
236	166.6826415
237	165.5336671
238	163.5491599
239	161.8064357
240	159.9753904
241	157.1378734
242	156.0353412
243	154.6635999
244	152.729689
245	152.2769436
246	149.0361296
247	146.3770006
248	145.7601366
249	145.7290808
250	144.3670376
251	143.4902264
252	140.9796773
253	139.1559663
254	136.6848959
255	135.1209481
256	132.4328889
257	131.6810386
258	129.3864378
259	128.6919119
260	127.8331156
261	126.1455573
262	126.1081468
263	125.4623523
264	124.6857364
265	122.6341179
266	120.9256019
267	120.3257712
268	118.6659882
269	116.9838389
270	115.0320337
271	114.2738155
272	113.010026
273	112.98674
274	111.4436187
275	111.1143436
276	109.6831499
277	109.3760456
278	108.5608445
279	107.5748366
280	106.3613274
281	105.4315622
282	104.3320246
283	102.8403086
284	102.3046983
285	101.9102983
286	100.9971867
287	100.4515445
288	99.71598606
289	98.46152247
290	97.35092408
291	96.81823717
292	95.54770951
293	94.70513692
294	94.09115825
295	93.36767649
296	92.82705048
297	91.30628573
298	90.99654009
299	90.08167354
300	89.23898523
301	88.12926084
302	88.0116593
303	87.67462699
304	86.91825297
305	85.46405499
306	84.703306
307	83.72193687
308	83.40127697
309	82.839525
310	81.39766188
311	80.47869924
312	79.47729924
313	78.64153604
314	77.99840728
315	77.55117695
316	77.26099822
317	77.0979627
318	76.70972713
319	75.92816333
320	75.80642818
321	74.74024058
322	74.45674481
323	73.53499491
324	73.00916974
325	72.26188353
326	71.29234168
327	70.542366
328	69.78513647
329	69.44418803
330	68.83585087
331	68.17333534
332	67.25534891
333	66.98901239
334	66.38999976
335	65.30593226
336	64.99226681
337	64.83998612
338	64.55464475
339	63.9919745
340	63.33671078
341	62.75506897
342	61.97090713
343	61.59640485
344	61.23672609
345	60.85480139
346	60.1168059
347	59.14134177
348	58.71099688
349	58.40822092
350	57.85968965
351	57.37684595
352	57.00703196
353	56.30717716
354	55.97899402
355	55.79626882
356	55.58662218
357	54.92956861
358	54.37022869
359	53.78389964
360	53.22564237
361	52.71761409
362	52.49281223
363	51.75715729
364	51.03925002
365	50.52666579
366	49.94176546
367	49.68270084
368	49.29288829
369	49.08151377
370	48.62040107
371	48.24863449
372	47.87611634
373	47.2629964
374	47.19120991
375	46.80343374
376	46.51250338
377	46.25953331
378	45.9659685
379	45.77216333
380	45.37660193
381	44.94989351
382	44.54129962
383	44.03149712
384	43.38578323
385	42.86714887
386	42.41680069
387	42.14847535
388	41.75114514
389	41.26552583
390	40.95568004
391	40.63490618
392	40.58028974
393	40.27100703
394	39.8736589
395	39.68012257
396	39.12139264
397	38.65971895
398	38.36292994
399	38.1571568
400	37.79840753
401	37.34301389
402	36.96960031
403	36.50279979
404	36.27506468
405	35.98027301
406	35.43184476
407	35.3034631
408	35.05836057
409	34.75869319
410	34.63705626
411	34.37188499
412	34.08009653
413	33.72700744
414	33.47859115
415	33.21398548
416	33.03463457
417	32.6309182
418	32.38746531
419	32.21079571
420	31.68882582
421	31.43334008
422	31.3797826
423	30.90146878
424	30.60205648
425	30.24975532
426	29.90891169
427	29.51247925
428	29.24287352
429	29.0170555
430	28.87585708
431	28.78805988
432	28.22639351
433	28.16652305
434	28.05444101
435	27.9897869
436	27.8993168
437	27.54301774
438	27.47242596
439	27.15747334
440	26.85530475
441	26.67666421
442	26.55088709
443	26.26226981
444	25.88089139
445	25.59300457
446	25.51575709
447	25.42927812
448	25.13026235
449	24.91581787
450	24.64687445
451	24.42022688
452	24.09497311
453	23.95642089
454	23.78651809
455	23.58101456
456	23.32906521
457	23.10389806
458	22.81171899
459	22.54836449
460	22.44027779
461	22.36749387
462	22.21412024
463	21.93569218
464	21.77410594
465	21.70940831
466	21.46042462
467	21.23472681
468	20.94350263
469	20.68058868
470	20.40402905
471	20.18130031
472	19.98139461
473	19.78239953
474	19.77887991
475	19.65330371
476	19.5311322
477	19.32005529
478	19.07335563
479	18.84851016
480	18.60838301
481	18.49215818
482	18.24564229
483	18.09926939
484	17.90522478
485	17.90323063
486	17.84137106
487	17.628819
488	17.50707873
489	17.46564941
490	17.30588833
491	17.21416646
492	17.06057014
493	16.97244739
494	16.83527092
495	16.66116565
496	16.59568137
497	16.49757408
498	16.38410446
499	16.28748008
500	16.09123283
501	15.98992436
502	15.85724972
503	15.74324942
504	15.6151575
505	15.56262515
506	15.42394834
507	15.35211206
508	15.16195792
509	15.00251268
510	14.811765
511	14.64644944
512	14.55079702
513	14.4781584
514	14.35527773
515	14.16753175
516	14.05047335
517	13.93980498
518	13.81109898
519	13.77259914
520	13.76840447
521	13.71611976
522	13.59100143
523	13.54983114
524	13.4275649
525	13.3010933
526	13.12356956
527	13.06115712
528	12.94623437
529	12.8280832
530	12.72869049
531	12.60444132
532	12.53118875
533	12.48287042
534	12.37624906
535	12.21557083
536	12.12122055
537	12.02825376
538	11.8604505
539	11.83531392
540	11.83203313
541	11.82107404
542	11.74042977
543	11.70486915
544	11.64938857
545	11.58060773
546	11.43115278
547	11.27222044
548	11.1952077
549	11.06881529
550	11.02510757
551	11.00387808
552	10.90997542
553	10.82163293
554	10.68978289
555	10.62704641
556	10.56874739
557	10.51400985
558	10.45698197
559	10.36769308
560	10.33483723
561	10.18930457
562	10.02021682
563	9.950996391
564	9.917557398
565	9.875326228
566	9.820327105
567	9.745878811
568	9.662216009
569	9.57673507
570	9.471718948
571	9.335805197
572	9.267731151
573	9.190301314
574	9.06209351
575	8.958612253
576	8.851096577
577	8.778061036
578	8.725279481
579	8.67996401
580	8.65139894
581	8.638676189
582	8.53735622
583	8.496291013
584	8.380084832
585	8.268091095
586	8.18090065
587	8.030732273
588	7.975886897
589	7.961115995
590	7.920892458
591	7.838461901
592	7.72918421
593	7.623947811
594	7.529939324
595	7.452108378
596	7.377062334
597	7.322894019
598	7.258495846
599	7.256955182
600	7.200204558
601	7.144831455
602	7.060430774
603	7.003317715
604	6.960726432
605	6.901503803
606	6.844309371
607	6.790617062
608	6.685586205
609	6.668848039
610	6.631637898
611	6.545949857
612	6.447609327
613	6.380053726
614	6.346219519
615	6.294034919
616	6.230260922
617	6.143598743
618	6.074807217
619	6.061521699
620	6.011101223
621	5.956595222
622	5.904882243
623	5.859273828
624	5.854166063
625	5.83429872
626	5.80139603
627	5.77768782
628	5.719619363
629	5.677199241
630	5.665408206
631	5.640333938
632	5.580797022
633	5.556988491
634	5.490560033
635	5.462179248
636	5.44634061
637	5.393085673
638	5.343153769
639	5.320533844
640	5.301892948
641	5.247737806
642	5.187481846
643	5.162142103
644	5.100134045
645	5.041463455
646	5.003672574
647	4.965902833
648	4.9276381
649	4.869265445
650	4.828369169
651	4.77025877
652	4.695546439
653	4.68055909
654	4.65039942
655	4.640540362
656	4.61859177
657	4.567350546
658	4.497442219
659	4.475501138
660	4.456220536
661	4.417422899
662	4.376787282
663	4.334328846
664	4.334085342
665	4.286441078
666	4.238682309
667	4.194800104
668	4.174197715
669	4.108252951
670	4.070183161
671	4.019775182
672	4.017938673
673	3.99190643
674	3.969111069
675	3.94319021
676	3.908114463
677	3.845642572
678	3.825130348
679	3.776494257
680	3.733035256
681	3.696103841
682	3.657129453
683	3.625666843
684	3.590587292
685	3.580939238
686	3.544214348
687	3.514924304
688	3.504123424
689	3.473936178
690	3.471449873
691	3.451357213
692	3.43738533
693	3.390331184
694	3.354306118
695	3.313694805
696	3.307049685
697	3.292583112
698	3.249534049
699	3.208312331
700	3.171602302
701	3.139257552
702	3.114171631
703	3.080282985
704	3.057814748
705	3.011614977
706	2.981447907
707	2.963942957
708	2.934278106
709	2.909958257
710	2.889320252
711	2.879284103
712	2.867794216
713	2.845924579
714	2.828464233
715	2.803717987
716	2.781635555
717	2.768345786
718	2.746896276
719	2.746796949
720	2.719233654
721	2.696420493
722	2.683974921
723	2.664903816
724	2.642763207
725	2.619453378
726	2.595938775
727	2.58172366
728	2.57724188
729	2.561928056
730	2.5316178
731	2.497792792
732	2.486344886
733	2.478035992
734	2.471657284
735	2.454412694
736	2.441325738
737	2.429994534
738	2.404059687
739	2.390014552
740	2.350127491
741	2.332050983
742	2.306478934
743	2.288155673
744	2.260398345
745	2.244948777
746	2.240338357
747	2.222976851
748	2.206941539
749	2.172287704
750	2.150339223
751	2.128342437
752	2.100844635
753	2.099704489
754	2.086798335
755	2.081967114
756	2.056677266
757	2.032383797
758	2.004477124
759	1.992391911
760	1.975795844
761	1.959056373
762	1.934460348
763	1.908969199
764	1.891746618
765	1.887260782
766	1.882983326
767	1.865144439
768	1.862332741
769	1.834829967
770	1.819700934
771	1.79886289
772	1.792077515
773	1.778370402
774	1.774477334
775	1.772091717
776	1.755195164
777	1.744587962
778	1.72766045
779	1.715461936
780	1.705969918
781	1.691623874
782	1.678825253
783	1.669141456
784	1.650687214
785	1.635750212
786	1.625227407
787	1.608295348
788	1.594656508
789	1.586007035
790	1.56722116
791	1.557205557
792	1.546055053
793	1.533073858
794	1.528435523
795	1.521662336
796	1.512452654
797	1.496541189
798	1.478798593
799	1.461591749
800	1.454218586
801	1.435185828
802	1.42247043
803	1.404934234
804	1.391978506
805	1.380416566
806	1.364215405
807	1.355331226
808	1.348691826
809	1.340678788
810	1.334725363
811	1.319188878
812	1.318598008
813	1.313782309
814	1.304138522
815	1.294940544
816	1.280898035
817	1.273562122
818	1.260779951
819	1.249255665
820	1.240788395
821	1.229455773
822	1.220248444
823	1.208626454
824	1.206347375
825	1.195543679
826	1.185240688
827	1.172899475
828	1.158525852
829	1.144832063
830	1.137857831
831	1.127316457
832	1.116487705
833	1.102799104
834	1.093460943
835	1.083697947
836	1.072870654
837	1.064964515
838	1.063538342
839	1.054618943
840	1.044766444
841	1.033672856
842	1.026672268
843	1.0202307
844	1.008260649
845	0.9994183609
846	0.9886627534
847	0.9857754741
848	0.9857297795
849	0.9763569319
850	0.9738699069
851	0.967086957
852	0.9605772546
853	0.9551411914
854	0.9441834958
855	0.9428252003
856	0.9359713322
857	0.926138945
858	0.9160477904
859	0.910460512
860	0.9028472331
861	0.8984468981
862	0.8906806582
863	0.8814529047
864	0.8765471492
865	0.8730378092
866	0.8711467295
867	0.8619065111
868	0.8618712168
869	0.8539033987
870	0.8485735801
871	0.8408577274
872	0.8368439161
873	0.8332723031
874	0.8252956944
875	0.8185449722
876	0.8081274497
877	0.7958210388
878	0.7907950485
879	0.7846078867
880	0.7845385341
881	0.7818631456
882	0.7803439654
883	0.7662315997
884	0.7577673636
885	0.7506223531
886	0.7487202534
887	0.7414931226
888	0.7405685703
889	0.7338844471
890	0.7250327766
891	0.7214488452
892	0.7192604946
893	0.7168645154
894	0.7097096821
895	0.7055694794
896	0.6954243648
897	0.6849467221
898	0.6800211094
899	0.6741166781
900	0.6689311453
901	0.6655628651
902	0.6635566385
903	0.6556947547
904	0.6510475518
905	0.6481873658
906	0.6419512377
907	0.6309276391
908	0.6278049067
909	0.6234584876
910	0.6194400247
911	0.6126833695
912	0.6084423839
913	0.6010016936
