iter	Passed	Remaining
0	8803	8794669
1	17267	8616472
2	25672	8531922
3	34507	8592436
4	34719	6909145
5	42970	7118775
6	51635	7324870
7	59954	7434355
8	68482	7540724
9	76659	7589310
10	85210	7661206
11	85465	7036684
12	85730	6508943
13	94585	6661528
14	102483	6729770
15	110846	6817053
16	119317	6899332
17	127381	6949386
18	135739	7008446
19	144057	7058800
20	152359	7102874
21	160626	7140565
22	169326	7192708
23	177739	7228067
24	185808	7246518
25	194396	7282389
26	202450	7295698
27	210562	7309517
28	218715	7323204
29	226888	7336047
30	235056	7347426
31	243538	7367050
32	251762	7377390
33	260043	7388289
34	268149	7393253
35	276344	7399887
36	284651	7408629
37	285030	7215773
38	293109	7222528
39	301264	7230350
40	309636	7242481
41	317753	7247804
42	325929	7253817
43	334437	7266421
44	342750	7273921
45	350877	7276903
46	359142	7282193
47	367245	7283711
48	375437	7286551
49	383769	7291620
50	391984	7293991
51	400196	7295897
52	408555	7300030
53	416831	7302277
54	425256	7306674
55	433567	7308711
56	441833	7309630
57	450035	7309192
58	458313	7309715
59	466519	7308810
60	474587	7305540
61	482563	7300720
62	491329	7307556
63	499415	7303952
64	507423	7299096
65	515571	7296118
66	523758	7293539
67	532131	7293325
68	540491	7292721
69	548703	7289920
70	557291	7291884
71	565501	7288691
72	573458	7282137
73	581975	7282557
74	590065	7277474
75	598208	7272950
76	606374	7268615
77	614380	7262292
78	622574	7258115
79	630801	7254217
80	639307	7253380
81	647501	7248863
82	655494	7242029
83	663878	7239432
84	671898	7232785
85	680111	7228166
86	688439	7224654
87	696692	7220262
88	704895	7215274
89	713181	7211059
90	721146	7203543
91	729753	7202345
92	737969	7197189
93	746293	7192999
94	754854	7190982
95	762917	7184138
96	771624	7183271
97	779526	7174822
98	787326	7165465
99	795509	7159583
100	803806	7154672
101	812015	7148924
102	820108	7142113
103	828519	7138017
104	836811	7132822
105	845181	7128229
106	845595	7057168
107	853938	7052901
108	862197	7047871
109	870491	7043065
110	878770	7038078
111	886746	7030635
112	895086	7026036
113	903516	7022069
114	912051	7018827
115	919734	7009009
116	928422	7006815
117	936455	6999604
118	944607	6993272
119	953284	6990749
120	961546	6985119
121	969687	6978570
122	977817	6971921
123	985789	6964129
124	993993	6957954
125	1001978	6950229
126	1009897	6942054
127	1018185	6936390
128	1026325	6929684
129	1034568	6923651
130	1042654	6916540
131	1050966	6910900
132	1058865	6902531
133	1067171	6896794
134	1075719	6892571
135	1084276	6888345
136	1092526	6882119
137	1100971	6877083
138	1109190	6870594
139	1117416	6864127
140	1122418	6837998
141	1130219	6829071
142	1138273	6821678
143	1146127	6813093
144	1146713	6761656
145	1155042	6756204
146	1163206	6749765
147	1170552	6738587
148	1178601	6731477
149	1186705	6724662
150	1195109	6719524
151	1203389	6713647
152	1211458	6706568
153	1219662	6700223
154	1228147	6695383
155	1236802	6691420
156	1245164	6685816
157	1253278	6678863
158	1261580	6672888
159	1269395	6664323
160	1277874	6659234
161	1286263	6653636
162	1294581	6647638
163	1302801	6641110
164	1311179	6635360
165	1319229	6627934
166	1327574	6621974
167	1335961	6616191
168	1336075	6569696
169	1344527	6564458
170	1352649	6557583
171	1360903	6551324
172	1369233	6545411
173	1377870	6540923
174	1386171	6534810
175	1394362	6528151
176	1402881	6523003
177	1411162	6516716
178	1411909	6475852
179	1419931	6468578
180	1428053	6461746
181	1435978	6454014
