iter	RMSE
0	42639.78829
1	36469.81254
2	31183.24065
3	26860.49349
4	22924.48256
5	19990.43112
6	17657.20204
7	15728.58851
8	14240.01868
9	12980.68473
10	11830.41669
11	10950.54658
12	10182.26906
13	9564.281989
14	9098.658175
15	8649.046228
16	8307.718758
17	8011.897804
18	7659.69526
19	7357.520193
20	7053.726875
21	6745.77702
22	6545.307792
23	6313.861905
24	6127.781828
25	5939.322725
26	5781.826454
27	5648.827299
28	5525.481943
29	5398.959552
30	5303.195925
31	5180.853841
32	5073.009182
33	4965.094839
34	4840.92153
35	4794.861458
36	4691.121306
37	4616.614129
38	4535.454842
39	4463.6604
40	4410.424149
41	4363.170845
42	4282.472646
43	4214.454853
44	4141.393689
45	4081.185332
46	3996.154001
47	3924.431948
48	3860.139338
49	3796.765457
50	3712.918346
51	3619.216953
52	3565.340357
53	3519.205888
54	3454.383819
55	3393.816136
56	3325.495157
57	3274.804537
58	3217.470759
59	3154.463928
60	3096.449626
61	3035.257009
62	2979.674502
63	2917.346439
64	2875.680187
65	2844.044705
66	2800.704801
67	2742.50142
68	2710.681141
69	2652.835648
70	2622.328599
71	2593.153335
72	2545.552713
73	2486.152015
74	2459.896118
75	2436.133792
76	2403.094413
77	2355.492317
78	2349.175922
79	2309.875539
80	2292.816547
81	2263.230142
82	2231.197635
83	2218.522931
84	2181.317791
85	2142.224788
86	2134.858577
87	2111.089457
88	2090.124568
89	2059.162144
90	2023.580887
91	2016.183986
92	1974.056602
93	1941.429758
94	1930.507125
95	1914.526232
96	1901.303429
97	1878.018987
98	1845.442282
99	1818.846988
100	1797.732373
101	1767.21969
102	1738.383838
103	1716.65041
104	1685.392849
105	1661.580934
106	1649.977889
107	1637.596657
108	1607.696694
109	1597.363021
110	1578.358835
111	1551.648547
112	1530.990826
113	1517.163343
114	1490.439366
115	1460.866735
116	1438.301588
117	1434.771539
118	1410.979626
119	1400.058052
120	1378.854991
121	1357.104752
122	1332.933686
123	1320.061293
124	1310.798318
125	1288.057656
126	1278.118504
127	1259.842871
128	1247.433469
129	1228.493479
130	1218.466412
131	1205.229589
132	1185.638761
133	1172.162522
134	1157.520542
135	1139.470975
136	1127.570111
137	1110.861953
138	1097.992168
139	1094.39787
140	1077.970926
141	1061.922282
142	1052.711449
143	1037.424606
144	1020.627185
145	1006.9344
146	1000.213269
147	987.7548255
148	975.8320462
149	963.0501562
150	953.5670763
151	939.8643931
152	927.4190361
153	914.2713891
154	903.2665226
155	897.5233732
156	889.5362276
157	878.0873697
158	862.8969222
159	859.8785663
160	846.4331122
161	832.9713044
162	824.8013399
163	818.9653826
164	811.0435961
165	800.3026957
166	794.9771836
167	791.7321482
168	778.7103345
169	767.1300856
170	760.1696121
171	754.5000228
172	749.562404
173	744.0291955
174	735.3582305
175	728.5409075
176	719.0651974
177	711.6110304
178	703.8000169
179	699.6225112
180	691.6320002
181	679.4731606
182	675.9129569
183	671.0818184
184	661.2547887
185	654.942148
186	646.1027986
187	642.3394862
188	638.7497424
189	630.6276053
190	622.9651488
191	621.9190716
192	611.3318232
193	605.6966768
194	600.9780276
195	593.3284439
196	590.6113747
197	586.0940463
198	583.8880724
199	576.9713553
200	569.9786405
201	562.3155061
202	556.6092218
