iter	Passed	Remaining
0	12523	12511033
1	25491	12720272
2	38198	12694794
3	50322	12530282
4	50355	10020721
5	54704	9062636
6	67701	9603965
7	80517	9984124
8	93186	10260830
9	105622	10456603
10	118171	10624718
11	130346	10731885
12	142664	10831507
13	155085	10922431
14	167092	10972430
15	178740	10992536
16	191737	11086938
17	204373	11149691
18	216282	11167021
19	228827	11212553
20	241451	11256242
21	253417	11265572
22	266233	11309134
23	278561	11328170
24	291092	11352610
25	303569	11372182
26	315987	11387263
27	328215	11393763
28	340666	11406466
29	352978	11412986
30	365365	11420608
31	377374	11415585
32	389572	11415668
33	402514	11436135
34	414176	11419447
35	415033	11113683
36	428051	11140917
37	440523	11152198
38	452974	11161752
39	465479	11171507
40	477898	11178171
41	490192	11181053
42	502670	11187343
43	515255	11195103
44	527067	11185553
45	539913	11197344
46	552565	11204145
47	564793	11201737
48	577368	11205657
49	589095	11192811
50	602016	11202226
51	613815	11190330
52	626340	11191403
53	638932	11193144
54	651564	11195064
55	663927	11191928
56	676451	11191122
57	689018	11190607
58	701907	11194835
59	714328	11191142
60	726755	11187269
61	738944	11179520
62	751395	11175524
63	764082	11174700
64	776860	11174842
65	788740	11161872
66	801113	11155801
67	813431	11148794
68	826428	11150799
69	839139	11148566
70	851905	11146759
71	864253	11139261
72	876801	11134172
73	890090	11138157
74	902490	11130711
75	914932	11123654
76	927333	11115963
77	939594	11106493
78	951929	11097809
79	965154	11099280
80	977528	11090725
81	990950	11093811
82	1003575	11087696
83	1015996	11079203
84	1028433	11070784
85	1040882	11062399
86	1052987	11050316
87	1066175	11049458
88	1078352	11037968
89	1090857	11029780
90	1104858	11036439
91	1117392	11028174
92	1129298	11013697
93	1141782	11004839
94	1154451	10997666
95	1167613	10995030
96	1179428	10979628
97	1192375	10974723
98	1204925	10966042
99	1217059	10953538
100	1229184	10940957
101	1241426	10929419
102	1254163	10922178
103	1266678	10912919
104	1279128	10903049
105	1291491	10892386
106	1304005	10882958
107	1315921	10868540
108	1328514	10859693
109	1340436	10845347
110	1352420	10831546
111	1365179	10823922
112	1378333	10819306
113	1390768	10808954
114	1403246	10798896
115	1415656	10788279
116	1427694	10774823
117	1433310	10713391
118	1446155	10706408
119	1458636	10696669
120	1471091	10686689
121	1483543	10676652
122	1495984	10666492
123	1507557	10650167
124	1520347	10642435
125	1533255	10635437
126	1545155	10621420
127	1557159	10608148
128	1569655	10598215
129	1581688	10585148
130	1594295	10575897
131	1607074	10567730
132	1619306	10555930
133	1631909	10546521
134	1644376	10536192
135	1656592	10524236
136	1668940	10513109
137	1681576	10503761
138	1694176	10494144
139	1700375	10445165
140	1712772	10434552
141	1725632	10426708
142	1738908	10421291
143	1751636	10412505
144	1764835	10406446
145	1778266	10401639
146	1790648	10390631
147	1803785	10383954
148	1816911	10377126
149	1829701	10368306
150	1842252	10358094
151	1854867	10348207
152	1867441	10338058
153	1880152	10328628
154	1893596	10323153
155	1906670	10315573
156	1919373	10305937
157	1932108	10296426
158	1944619	10285693
159	1957184	10275220
160	1970795	10270169
161	1983424	10259934
162	1996207	10250465
163	2008600	10238965
164	2020606	10225491
165	2032255	10210247
166	2044983	10200428
167	2057310	10188587
168	2069556	10176341
169	2082033	10165220
170	2094411	10153609
171	2106835	10142208
172	2118355	10126472
173	2130855	10115441
174	2143625	10105664
175	2155598	10092119
176	2168482	10082830
177	2180641	10070155
178	2193642	10061344
179	2205418	10046906
180	2217581	10034248
181	2229801	10021854
182	2242290	10010661
183	2254676	9998999
184	2267127	9987617
185	2279308	9975039
186	2291681	9963301
187	2303610	9949636
188	2315889	9937495
189	2328514	9926826
190	2341441	9917415
191	2353218	9903128
192	2365332	9890274
193	2377837	9879055
